QDC1,,,,
,,,,
1 / 2,,,,
PRODUTTORE,CODICE,DESCRIZIONE,QUANTITA,U. M.
ABB,E91/32,,8,PZ.
ABB,51870000,630mm,2,PZ.
ABB,51870000,155mm,1,PZ.
ABB,51850000,590mm,1,PZ.
ABB,51850000,360mm,2,PZ
ABB,RBR121P-12VDC,,3,PZ.
ABB,RBR121P-24VDC,,5,PZ.
AZIMUT,A000004411,,5,PZ.
,,Rame 50x20x8mm,6,PZ.
,,Rame 100x20x8mm,5,PZ.
,,Rame 150x20x8mm,2,PZ.
,,Bullone 8x40mm,6,PZ.
,,Groover M8,6,PZ.
,,Dado M8,6,PZ.
,,Rondella M8,12,PZ.
,,Lastra PVC 460x440x10mm,1,PZ.
BEP MARINE,702-MDO-EP,,3,PZ.
BEP MARINE,701-MD,,6,PZ.
CEMBRE,1900.21/X,,3,PZ.
CEMBRE,1900.16/X,,4,PZ.
CEMBRE,1900.13/X,,9,PZ.
CEMBRE,1900.11/X,,4,PZ.
CEMBRE,1900.09/X,,17,PZ.
COPAT / RS-PRO,,Fusibile Lamellare Mini 5A,3,PZ.
DIODES INC.,1N4007-T,Diodo 1A,4,PZ.
ETA,ST5725EE,500x700x250mm,1,PZ.
ITALWEBER,104005,,3,PZ.
ITALWEBER,102002,,18,PZ.
LEGRAND,10013310,,8,PZ.
LEM ,HAT-200-S,,2,PZ.
OMEGA ,FP1020,,11,PZ.
QDC1,,,,
,,,,
2 / 2,,,,
PRODUTTORE,CODICE,DESCRIZIONE,QUANTITA,U. M.
OMEGA ,FT1035,,8,PZ.
OMEGA ,FT1325,,1,PZ.
OMEGA ,FT1250,,1,PZ.
OMEGA ,FT1063,,1,PZ.
SENECA,16272,,1,PZ.
TDK-LAMBDA,DPX20-24WD15,,1,PZ.
VICTRON ENERGY,BCD 402,,2,PZ.
VICTRON ENERGY,cbd 802,,2,PZ.
WACO,2002-1861,,7,PZ.
WAGO,2002-1892,,1,PZ.
WACO,2002-1611,,21,PZ.
WAGO,870-539,,5,PZ.
WACO,870-573,,1,PZ.
WAGO,870-405,,1,PZ.
WAGO,2002-2401,,1,PZ.
WAGO,2002-2492,,1,PZ.
WAGO,2002-2201,,8,PZ.
WAGO,2002-2292,,1,PZ.
WAGO,2002-800,,4,PZ.
WAGO,2002-404,,1,PZ.
WAGO,2002-403,,1,PZ.
WAGO,249-116,,2,PZ.
ZELIO,SR2D101BD,,1,PZ.
ABB,RBR121P-12VDC,,3,PZ.
